Unnamed: 0,Filename,Text,embeddings
0,ChinaTaiwanUpdate040524.txt,"









China-Taiwan Weekly Update, April 5, 2024 | Institute for the Study of War

































Skip to main content











 
 



Search form

Search 





 
 


Home
Who We Are
Research
Publications
Get Involved
Planned Giving
Donate


 


 



China-Taiwan Weekly Update, April 5, 2024 



Apr 4, 2024 - ISW Press




Download the PDF







China-Taiwan Weekly Update, April 5, 2024
Authors","[ 0.02700094 -0.00249202 -0.03727423 ... -0.02912815 -0.01942632
  0.01237554]"
1,ChinaTaiwanUpdate040524.txt,"

China-Taiwan Weekly Update, April 5, 2024 



Apr 4, 2024 - ISW Press




Download the PDF







China-Taiwan Weekly Update, April 5, 2024
Authors: Matthew Sperzel, Daniel Shats, and Nils Peterson of the Institute for the Study of War
Editors: Dan Blumenthal and Frederick W. Kagan of the American Enterprise Institute
Data Cutoff: April 3 at 5 pm ET
The China–Taiwan Weekly Update is a joint product of the Institute for the Study of War and the American Enterprise Institute. The update supports the ISW–AEI Coalition Defense of Taiwan project, which assesses Chinese campaigns against Taiwan, examines","[ 0.02565481 -0.00153115 -0.03505523 ... -0.01627788 -0.01450216
  0.0136528 ]"
2,ChinaTaiwanUpdate040524.txt,"
The China–Taiwan Weekly Update is a joint product of the Institute for the Study of War and the American Enterprise Institute. The update supports the ISW–AEI Coalition Defense of Taiwan project, which assesses Chinese campaigns against Taiwan, examines alternative strategies for the United States and its allies to deter the Chinese Communist Party’s (CCP) aggression, and—if necessary—defeat the People’s Liberation Army (PLA). The update focuses on the Chinese Communist Party’s paths to controlling Taiwan and cross–Taiwan Strait developments.
Key Takeaways 
Former Republica of China (ROC) President Ma Ying-jeou met with the People's Republic of China's (PRC) Taiwan Affairs","[ 0.03187984 -0.02286357 -0.038686   ... -0.02182656 -0.02868688
  0.01035408]"
3,ChinaTaiwanUpdate040524.txt,"�s paths to controlling Taiwan and cross–Taiwan Strait developments.
Key Takeaways 
Former Republica of China (ROC) President Ma Ying-jeou met with the People's Republic of China's (PRC) Taiwan Affairs Office Director Song Tao in Shenzhen.
The Democratic Progressive Party (DPP) proposed legislative reforms in response to the Kuomintang (KMT) and Taiwan People’s Party's (TPP) reforms that threaten to undermine the DPP's governance.
CCP Secretary General Xi Jinping emphasized Taiwan and economic issues in a phone call with US President Joe Biden. The PRC readout of the call did not mention the US key security concerns.
Top PRC","[ 0.02317623 -0.01255343 -0.05536482 ... -0.01224849 -0.03095325
  0.0022124 ]"
4,ChinaTaiwanUpdate040524.txt," undermine the DPP's governance.
CCP Secretary General Xi Jinping emphasized Taiwan and economic issues in a phone call with US President Joe Biden. The PRC readout of the call did not mention the US key security concerns.
Top PRC officials met with US business and academic leaders to boost foreign investment.
A flotilla of PLA Southern Theater Command naval warships carried out live-fire drills in an unspecified area of the South China Sea on the weekend of March 30.

Cross-Strait Relations
Former ROC President Ma Ying-jeou met with the PRC’s Taiwan Affairs Office Director Song Tao on April 1 in Shenzhen. Song repeated standard rhetoric expressing the PRC’s cross-strait","[ 0.02377872 -0.00869949 -0.04781757 ... -0.0102307  -0.02414953
 -0.00665562]"
5,ChinaTaiwanUpdate040524.txt,"-Strait Relations
Former ROC President Ma Ying-jeou met with the PRC’s Taiwan Affairs Office Director Song Tao on April 1 in Shenzhen. Song repeated standard rhetoric expressing the PRC’s cross-strait policy, including urging adherence to the “1992 Consensus” and opposing Taiwanese independence and foreign interference. Ma echoed Song’s statements and advocated for stronger cross-strait cooperation and exchanges in all areas, especially between the youth.[1] Ma’s meeting with Song occurred on the first day of his trip to the PRC and did not appear on his public itinerary.[2] The stated purpose of Ma’s visit to the PRC is to lead","[ 0.04241621 -0.01715847 -0.05171006 ...  0.00094719 -0.02668851
  0.01318446]"
6,ChinaTaiwanUpdate040524.txt,"] Ma’s meeting with Song occurred on the first day of his trip to the PRC and did not appear on his public itinerary.[2] The stated purpose of Ma’s visit to the PRC is to lead a delegation of Taiwanese students to participate in exchanges with mainland youth and promote cross-strait stability from April 1-11.[3]
The CCP insists that all cross-strait negotiations must be on the mutual basis of the “1992 consensus,” which Ma and the Kuomintang (KMT) recognize but the ruling Democratic Progressive Party (DPP) does not. The 1992 Consensus is an alleged verbal agreement between semi-official representatives of the PRC and the then","[ 0.02301527 -0.00669365 -0.05693165 ... -0.00954388 -0.03736118
  0.01148828]"
7,ChinaTaiwanUpdate040524.txt,",” which Ma and the Kuomintang (KMT) recognize but the ruling Democratic Progressive Party (DPP) does not. The 1992 Consensus is an alleged verbal agreement between semi-official representatives of the PRC and the then KMT-ruled ROC following negotiations in 1992. It states that both sides agree there is only one China and that Taiwan is part of China. The CCP interprets this “one China” to be the People’s Republic of China, however, while the KMT interprets it to be the Republic of China. The CCP does not acknowledge that the KMT’s interpretation of the 1992 Consensus does not align with its own. The PRC severed official cross","[ 0.02062316 -0.00724558 -0.06695998 ...  0.00760709 -0.02283414
 -0.01661886]"
8,ChinaTaiwanUpdate040524.txt," of China, however, while the KMT interprets it to be the Republic of China. The CCP does not acknowledge that the KMT’s interpretation of the 1992 Consensus does not align with its own. The PRC severed official cross-strait contact in 2016 based on the DPP’s refusal to accept the 1992 Consensus.[4]
CEO of the Ma Ying-jeou Foundation and former Ma aide Hsiao Hsu-tsen mentioned the possibility that Ma will meet with CCP General Secretary Xi Jinping on April 8.[5] Ma last met Xi in Singapore in 2015, when Ma was ROC president. The 2015 meeting was the first between the leaders of the PRC and Taiwan. Ma became","[ 0.0341472  -0.0121645  -0.04092178 ...  0.01009062 -0.03888946
  0.0156718 ]"
9,ChinaTaiwanUpdate040524.txt," Ma will meet with CCP General Secretary Xi Jinping on April 8.[5] Ma last met Xi in Singapore in 2015, when Ma was ROC president. The 2015 meeting was the first between the leaders of the PRC and Taiwan. Ma became the first former Taiwanese president to visit the PRC in March 2023 during a visit that overlapped with sitting president Tsai Ing-wen’s trip to the United States. Ma did not meet Xi on that visit, however. PRC officials have repeatedly lauded the period during Ma’s presidency as a high point in cross-strait relations to portray relations as having failed under the DPP. The PRC’s Taiwan Affairs Office (TAO) spokesperson Chen Binhua","[ 0.02643181 -0.01542738 -0.02255717 ...  0.00629118 -0.04142679
  0.01210671]"
